 
3.77298504525663e+01,1.00599889496239e+02,-1.66329921340856e+02,3.46287970395863e+01,9.88765911663166e+01,-1.74607514781398e+02
3.77265833786736e+01,1.00680371640815e+02,-1.66457828582916e+02,3.46206076459371e+01,9.89900488655562e+01,-1.74663202661957e+02
3.77383469193536e+01,1.00670192812201e+02,-1.66550594846764e+02,3.46773937167326e+01,9.90761781656466e+01,-1.74665935313561e+02
3.77493756234265e+01,1.00676737579329e+02,-1.66555488791090e+02,3.46009712987621e+01,9.91360901058428e+01,-1.74712456040335e+02
3.77592949918473e+01,1.00676193179336e+02,-1.66588780505549e+02,3.45065632408435e+01,9.91229450721050e+01,-1.74743643980123e+02
3.77668461465236e+01,1.00711094455990e+02,-1.66623117488836e+02,3.44167940174502e+01,9.91108787032230e+01,-1.74736561604831e+02
3.77786329531211e+01,1.00804556504453e+02,-1.66625155683202e+02,3.41776260970740e+01,9.92224808010978e+01,-1.74715505692549e+02
3.77801013585258e+01,1.00812701388746e+02,-1.66654555896647e+02,3.41685004846142e+01,9.92295958711038e+01,-1.74715148128900e+02
3.77839008104602e+01,1.00884115174769e+02,-1.66705311827774e+02,3.40914272658730e+01,9.93499248094869e+01,-1.74712194063707e+02
3.77906346855643e+01,1.01075001169371e+02,-1.66806867047872e+02,3.38596350241065e+01,9.95302225665560e+01,-1.74696235359762e+02
3.77953236984098e+01,1.01215933764509e+02,-1.66894029676095e+02,3.37053949751147e+01,9.96760682334056e+01,-1.74676544725399e+02
3.77948188059025e+01,1.01326988550788e+02,-1.66910368500420e+02,3.35283223269743e+01,9.98597668404088e+01,-1.74642566988117e+02
3.77921652942047e+01,1.01368289764642e+02,-1.66897591805372e+02,3.34377899517794e+01,9.99780289149431e+01,-1.74623932298127e+02
3.77892737133046e+01,1.01391108143251e+02,-1.66891655300214e+02,3.33802073084493e+01,1.00065586123173e+02,-1.74616182645968e+02
3.77843759598137e+01,1.01396634930681e+02,-1.66909683781626e+02,3.33853774563592e+01,1.00121630339258e+02,-1.74633281702702e+02
3.77857601764696e+01,1.01396972602345e+02,-1.66907825749506e+02,3.33825161431168e+01,1.00105045465959e+02,-1.74626822479775e+02
3.77827098565048e+01,1.01410055443244e+02,-1.66930710727975e+02,3.33912462166074e+01,1.00139303687693e+02,-1.74628935454597e+02
3.77757607785895e+01,1.01452940589057e+02,-1.66966986327176e+02,3.34061477919701e+01,1.00223704564692e+02,-1.74626334655609e+02
3.77752660775743e+01,1.01472257902202e+02,-1.66977275322170e+02,3.34131743531257e+01,1.00244107475932e+02,-1.74619416174656e+02
3.77736560999422e+01,1.01509430293776e+02,-1.66997913218140e+02,3.34233344852650e+01,1.00283669968622e+02,-1.74609722365754e+02
